ICD_Code_Pair,Count
"('E785', 'Z888')",39322
"('I10', 'G8929')",39212
"('E669', 'Z87891')",38756
"('I480', 'I10')",38708
"('I480', 'E785')",38701
"('E039', 'F419')",38632
"('D689', 'D631')",38488
"('I10', 'N400')",38405
"('G4733', 'E669')",38396
"('Z87891', 'I10')",38291
"('I10', 'I480')",38188
"('Z888', 'Z79899')",38012
"('I10', 'D649')",37067
"('I129', 'E1122')",37059
"('E876', 'Z79899')",36923
"('F32A', 'Z87891')",36859
"('I2510', 'G4733')",36477
"('Z79899', 'Z7901')",36407
"('D649', 'Z79899')",36328
"('J449', 'K219')",35992
"('E785', 'J45909')",35856
"('Z79899', 'Z880')",35685
"('I10', 'M1990')",35654
"('E6601', 'Z79899')",35531
"('I110', 'I509')",35429
"('E785', 'J449')",35380
"('Z794', 'Z79899')",35374
"('N2581', 'D689')",35337
"('L821', 'L814')",35162
"('I10', 'I252')",35082
"('J45909', 'Z87891')",34826
"('Z87891', 'Z888')",34738
"('K5730', 'I10')",34556
"('E785', 'E6601')",34480
"('I10', 'Z79890')",34460
"('M542', 'M9903')",34339
"('N390', 'I10')",33782
"('Z992', 'E878')",33687
"('K635', 'K5730')",33674
"('E669', 'E785')",33559
"('K219', 'Z7901')",33555
"('E785', 'Z7902')",33491
"('E119', 'Z7901')",33311
"('E119', 'I2510')",33254
"('E669', 'I10')",33191
"('Z992', 'E1122')",33152
"('E7800', 'K219')",33086
"('E785', 'Z8673')",32718
"('Z87891', 'E785')",32549
"('I129', 'Z79899')",32466
"('I10', 'Z881')",32423
"('D631', 'Z23')",32243
"('I480', 'Z79899')",32192
"('M9904', 'M9902')",32132
"('I4891', 'Z87891')",32124
"('I10', 'Z7902')",31940
"('Z20822', 'K219')",31858
"('Z79899', 'Z7984')",31451
"('N1830', 'E785')",31138
"('I130', 'E1122')",31116
"('E785', 'N400')",31106
"('E039', 'F32A')",30982
"('I10', 'Z8249')",30837
"('E785', 'R7303')",30709
"('N186', 'Z992')",30688
"('D649', 'I10')",30637
"('F32A', 'I10')",30633
"('E1165', 'I10')",30630
"('E039', 'E669')",30585
"('Z87891', 'Z20822')",30403
"('I10', 'Z885')",30302
"('Z7982', 'Z7984')",30243
"('D689', 'D509')",30210
"('D631', 'Z992')",30174
"('F32A', 'E785')",30012
"('I10', 'E876')",29943
"('E119', 'F419')",29867
"('K219', 'Z20822')",29828
"('I10', 'Z98890')",29795
"('Z992', 'E875')",29746
"('Z79890', 'Z79899')",29629
"('E871', 'E785')",29617
"('E039', 'Z7982')",29478
"('I2510', 'E039')",29464
"('R112', 'Z79899')",29408
"('E1165', 'E785')",29399
"('E7800', 'Z7982')",29194
"('Z86010', 'K5730')",29138
"('E785', 'I252')",29096
"('I110', 'I2510')",29067
"('Z880', 'Z888')",29062
"('I10', 'Z882')",28996
"('M546', 'M9903')",28955
"('E1122', 'I129')",28930
"('D62', 'I10')",28927
"('Z23', 'I10')",28896
"('I10', 'Z955')",28817
"('E1122', 'Z794')",28815
"('N179', 'I2510')",28674
"('M9905', 'M9902')",28515
"('J9601', 'N179')",28466
"('E119', 'E7800')",28407
"('M546', 'M9902')",28384
"('E6601', 'G4733')",28188
"('E039', 'E559')",28164
"('Z881', 'Z888')",28080
"('D649', 'E785')",28064
"('L821', 'Z85828')",27969
"('E785', 'Z880')",27860
"('E559', 'Z79899')",27818
"('L821', 'Z1283')",27718
"('J9601', 'E785')",27633
"('N2581', 'Z23')",27626
"('E119', 'Z20822')",27573
"('E6601', 'Z6842')",27524
"('E1165', 'Z794')",27435
"('G4733', 'Z7982')",27431
"('G4733', 'F419')",27395
"('M6281', 'R262')",27328
"('Z794', 'Z7984')",27301
"('G4733', 'E6601')",27287
"('E6601', 'E785')",27235
"('K219', 'Z888')",27230
"('K219', 'E119')",27215
"('Z87891', 'Z7901')",27068
"('K219', 'E7800')",26952
"('N2581', 'E878')",26950
"('R110', 'Z79899')",26912
"('J9601', 'I10')",26802
"('I2510', 'J449')",26791
"('I10', 'M810')",26743
"('J449', 'F17210')",26697
"('I10', 'G4730')",26661
"('I10', 'M109')",26661
"('K5730', 'Z86010')",26617
"('D122', 'K5730')",26522
"('J45909', 'I10')",26497
"('E785', 'Z955')",26490
"('Z992', 'R110')",26260
"('E039', 'Z7901')",26212
"('E119', 'F32A')",26182
"('D509', 'Z23')",26130
"('F419', 'Z20822')",26068
"('D123', 'K5730')",26034
"('K219', 'Z7984')",25968
"('E119', 'E6601')",25908
"('Z79899', 'Z881')",25893
"('M9903', 'M9906')",25821
"('E785', 'Z23')",25785
"('G4733', 'Z9989')",25742
"('Z885', 'Z888')",25704
"('J45909', 'E785')",25687
"('E039', 'G4733')",25622
"('K635', 'K648')",25614
"('I10', 'Z9049')",25611
"('D225', 'L814')",25567
"('R0602', 'Z79899')",25563
"('M546', 'M9901')",25396
"('M9902', 'M9906')",25350
"('I2510', 'E7800')",25330
"('I10', 'Z125')",25327
"('F17210', 'I10')",25311
"('G8918', 'I10')",25291
"('I130', 'N1830')",25255
"('E1122', 'I2510')",25230
"('E785', 'G8929')",25198
"('E785', 'Z8249')",25072
"('L821', 'D225')",25058
"('D62', 'E785')",25050
"('M899', 'D509')",24973
"('I4891', 'I2510')",24973
"('R7989', 'Z79899')",24938
"('M5450', 'G8929')",24876
"('I110', 'Z79899')",24848
"('E1122', 'N189')",24791
"('Z880', 'Z79899')",24788
"('E559', 'E785')",24767
"('K219', 'J45909')",24757
"('J45909', 'F419')",24649
"('M899', 'D631')",24594
"('I252', 'Z7982')",24548
"('N2581', 'N250')",24476
"('M9903', 'M5450')",24476
"('E785', 'I4891')",24465
"('Z880', 'Z881')",24425
"('Z7984', 'Z87891')",24418
"('I10', 'Z8616')",24368
"('Z79899', 'I10')",24355
"('M9902', 'M542')",24340
"('I10', 'Z6841')",24335
"('N390', 'E785')",24294
"('M5450', 'M9902')",24286
"('Z7984', 'Z7982')",24218
"('I129', 'Z87891')",24099
"('Z170', 'Z79899')",24088
"('E6601', 'Z87891')",24063
"('G4733', 'Z7901')",24045
"('I2510', 'E669')",24044
"('E785', 'Z79890')",24027
"('L821', 'L570')",23999
"('N179', 'E860')",23989
"('E669', 'G4733')",23968
"('G8929', 'Z79899')",23954
"('I2510', 'Z7984')",23861
"('I252', 'Z79899')",23849
"('N179', 'E1122')",23809
"('F419', 'Z7982')",23776
"('I10', 'K760')",23730
"('R42', 'Z79899')",23716
"('E785', 'M1990')",23714
"('Z7901', 'Z7982')",23703
"('I10', 'Z951')",23697
"('E782', 'Z79899')",23621
"('Z880', 'Z882')",23615
"('Z79899', 'Z79890')",23573
"('E860', 'I10')",23546
"('I110', 'Z7901')",23482
"('M899', 'Z992')",23466
"('Z87891', 'K219')",23461
"('R0602', 'I10')",23439
"('I130', 'I5032')",23370
"('N179', 'K219')",23332
"('M9904', 'M9901')",23300
"('Z79899', 'Z882')",23240
"('Z794', 'I10')",23233
"('Z882', 'Z888')",23193
"('Z20822', 'Z7982')",23132
"('I4891', 'K219')",23050
"('I10', 'R7301')",23007
"('N179', 'Z79899')",22948
"('Z86718', 'Z7901')",22938
"('L814', 'L570')",22927
"('R531', 'I10')",22870
"('J449', 'I2510')",22847
"('N179', 'I129')",22843
"('N2581', 'E1122')",22828
"('E876', 'E785')",22822
"('I5032', 'E785')",22741
"('M9903', 'M542')",22679
"('I130', 'E785')",22589
"('R197', 'Z79899')",22533
"('Z7901', 'I10')",22521
"('Z79899', 'Z8249')",22440
"('I10', 'G4700')",22412
"('Z87891', 'Z7984')",22403
"('K219', 'F17210')",22399
"('I480', 'K219')",22392
"('F419', 'E669')",22383
"('E559', 'I10')",22314
"('M5450', 'M9901')",22271
"('E7800', 'E039')",22169
"('I2510', 'I480')",22162
"('M9901', 'M542')",22155
"('G8929', 'I10')",22140
"('H52223', 'H524')",22122
"('L814', 'Z1283')",22118
"('Z8673', 'Z79899')",22108
"('Z87891', 'Z880')",22046
"('I110', 'Z87891')",22029
"('M9902', 'M9907')",21932
"('K219', 'M1990')",21925
"('R42', 'I10')",21841
"('Z86711', 'Z7901')",21790
"('M5450', 'M9903')",21787
"('F17210', 'Z20822')",21772
"('M9901', 'M9904')",21738
"('J45909', 'F32A')",21718
"('E039', 'E119')",21677
"('M9901', 'M9905')",21664
"('C9000', 'Z79899')",21636
"('E119', 'F17210')",21606
"('G4733', 'F32A')",21568
"('Z0000', 'I10')",21528
"('I480', 'Z87891')",21522
"('I10', 'E1165')",21435
"('R5383', 'Z79899')",21410
"('Z370', 'Z3A39')",21408
"('E785', 'Z125')",21193
"('I10', 'G43909')",21143
"('I2510', 'I4891')",21142
"('Z7902', 'Z79899')",21094
"('K5730', 'Z79899')",21087
"('K219', 'Z880')",21030
"('M9905', 'M9906')",20990
"('E785', 'I480')",20985
"('M25561', 'M25562')",20981
"('E785', 'Z951')",20980
"('K219', 'E6601')",20947
"('M542', 'M9901')",20935
"('M9905', 'M9901')",20890
"('F419', 'E039')",20860
"('Z98890', 'Z79899')",20860
"('M6281', 'R2681')",20839
"('G4733', 'E119')",20803
"('D225', 'L821')",20788
"('I252', 'E785')",20754
"('F419', 'F17210')",20742
"('I10', 'Z86718')",20682
"('Z20822', 'I2510')",20665
"('I130', 'I2510')",20632
"('M9903', 'M546')",20616
"('I2510', 'Z7902')",20576
"('M6281', 'R2689')",20569
"('Z20822', 'E039')",20547
"('M542', 'M5450')",20515
"('Z86010', 'I10')",20494
"('Z86010', 'K648')",20473
"('I110', 'E119')",20450
"('E669', 'Z7982')",20449
"('I129', 'K219')",20436
"('Z79899', 'Z885')",20389
"('L814', 'Z85828')",20375
"('I2510', 'F419')",20307
"('K648', 'I10')",20279
"('F419', 'G4733')",20244
"('E785', 'E876')",20186
"('F17210', 'Z7982')",20156
"('N189', 'E785')",20099
"('E785', 'Z881')",20081
"('N179', 'E039')",20075
"('Z6841', 'I10')",20044
"('I480', 'I2510')",20040
"('E785', 'D649')",20022
"('I2510', 'Z794')",19985
"('M9902', 'M5450')",19976
"('N1830', 'Z79899')",19965
"('E871', 'E876')",19961
"('E039', 'Z20822')",19960
"('J449', 'G4733')",19942
"('I509', 'E785')",19936
"('Z20822', 'F419')",19839
"('K219', 'I2510')",19772
"('L821', 'L578')",19684
"('J449', 'Z7901')",19567
"('Z20822', 'E119')",19550
"('Z794', 'E785')",19527
"('E119', 'Z888')",19500
"('E871', 'Z79899')",19462
"('J449', 'Z7982')",19456
"('I110', 'I5032')",19433
"('E785', 'R7301')",19425
"('E039', 'E7800')",19395
"('Z20822', 'Z7901')",19368
"('E860', 'Z79899')",19347
"('E785', 'M810')",19341
"('E1122', 'D631')",19281
"('E669', 'K219')",19273
"('Z79899', 'Z98890')",19238
"('F32A', 'E669')",19227
"('I5032', 'I2510')",19205
"('F419', 'Z888')",19200
"('N400', 'Z79899')",19186
"('F17210', 'E785')",19133
"('D631', 'E878')",19132
"('I509', 'Z79899')",19116
"('J45909', 'E669')",19111
"('M899', 'N2581')",19097
"('Z23', 'E785')",19081
"('N179', 'E876')",19036
"('N179', 'Z20822')",18962
"('F419', 'J45909')",18948
"('L814', 'D225')",18940
"('M546', 'M5450')",18929
"('E669', 'Z6833')",18915
"('E119', 'Z7985')",18907
"('J189', 'I10')",18856
"('I129', 'Z7982')",18805
"('E785', 'G4700')",18794
"('Z86010', 'Z79899')",18765
"('I2510', 'Z20822')",18750
"('Z888', 'Z87891')",18701
"('Z881', 'Z79899')",18700
"('E785', 'I129')",18677
"('M79674', 'M79675')",18648
"('K5730', 'K219')",18642
"('R519', 'Z79899')",18633
"('C7951', 'Z79899')",18616
"('Z7901', 'E785')",18595
"('Z13220', 'Z131')",18559
"('D509', 'E878')",18551
"('I110', 'Z7982')",18526
"('G4733', 'Z7984')",18526
"('N390', 'Z79899')",18484
"('I10', 'R7989')",18468
"('E876', 'K219')",18455
"('E876', 'E8342')",18438
"('I2510', 'F17210')",18432
"('J189', 'J9601')",18400
"('E785', 'M109')",18388
"('M810', 'Z79899')",18370
"('I781', 'Z1283')",18369
"('Z881', 'Z882')",18365
"('M9901', 'M546')",18357
"('Z7982', 'Z7902')",18337
"('I10', 'Z7985')",18327
"('E669', 'Z6832')",18307
"('I2510', 'F32A')",18236
"('J9601', 'I2510')",18236
"('E669', 'Z6841')",18220
"('E1122', 'Z79899')",18148
"('F32A', 'G4733')",18124
"('I129', 'I2510')",18114
"('I4891', 'Z7982')",18096
"('E6601', 'Z6843')",18092
"('I10', 'F418')",18054
"('Z7951', 'Z79899')",18004
"('I10', 'F17200')",17947
"('E039', 'J45909')",17939
"('E1165', 'Z7984')",17937
"('E8720', 'I10')",17926
"('J45909', 'G4733')",17921
"('E669', 'Z6830')",17918
"('J449', 'F32A')",17903
"('K5730', 'Z87891')",17899
"('K219', 'K449')",17889
"('Z6841', 'E6601')",17762
"('E6601', 'K219')",17706
"('N179', 'N1830')",17705
"('E782', 'E559')",17668
"('Z23', 'N2581')",17654
"('E1122', 'Z7984')",17640
"('G8918', 'E785')",17606
"('E039', 'Z7984')",17590
"('R0602', 'E785')",17588
"('Z1283', 'Z85828')",17579
"('K621', 'K5730')",17577
"('R262', 'M6281')",17527
"('I4891', 'E119')",17524
"('K5900', 'Z79899')",17505
"('I10', 'I739')",17491
"('C787', 'Z79899')",17471
"('E871', 'K219')",17467
"('R7303', 'Z79899')",17449
"('M546', 'M542')",17408
"('Z1152', 'Z79899')",17367
"('E785', 'Z885')",17329
"('N2581', 'R110')",17288
"('Z370', 'O701')",17261
"('Z8673', 'Z7982')",17225
"('E119', 'J449')",17219
"('F32A', 'Z20822')",17213
"('I252', 'Z87891')",17201
"('R7303', 'E785')",17165
"('N1830', 'I2510')",17122
"('E7800', 'E119')",17119
"('I10', 'Z7951')",17110
"('G8929', 'K219')",17105
"('R531', 'Z79899')",17103
"('E7800', 'F419')",17092
"('G43909', 'Z79899')",17062
"('G629', 'Z79899')",17035
"('E039', 'Z888')",17033
"('I10', 'Z853')",17015
"('I509', 'Z7901')",16978
"('I2510', 'Z8673')",16972
"('Z7901', 'Z7984')",16961
"('R509', 'Z20822')",16940
"('J189', 'Z20822')",16938
"('K635', 'I10')",16910
"('R0602', 'Z20822')",16901
"('E039', 'I2510')",16897
"('E785', 'Z882')",16890
"('Z79899', 'Z7902')",16883
"('K449', 'K219')",16869
"('E669', 'Z6834')",16850
"('E669', 'Z7901')",16831
"('K219', 'Z79890')",16823
"('Z20822', 'F17210')",16811
"('I509', 'Z87891')",16807
"('R7989', 'I10')",16803
"('I110', 'K219')",16766
"('E7800', 'G4733')",16752
"('E119', 'J45909')",16738
"('I252', 'Z955')",16735
"('D125', 'K5730')",16718
"('J45909', 'Z20822')",16686
"('E8342', 'I10')",16675
"('Z8673', 'Z87891')",16670
"('E7800', 'Z7901')",16667
"('Z131', 'Z13220')",16663
"('E669', 'Z6835')",16647
"('R7303', 'I10')",16647
"('E785', 'G4730')",16585
"('Z7902', 'Z7982')",16571
"('G4733', 'E039')",16566
"('E669', 'Z6831')",16548
"('K5730', 'E785')",16539
"('R2689', 'M6281')",16520
"('E785', 'Z8616')",16519
"('E785', 'Z98890')",16479
"('J189', 'E785')",16461
"('Z86010', 'K635')",16453
"('R000', 'Z79899')",16452
"('R5383', 'I10')",16451
"('E871', 'Z20822')",16448
"('J449', 'E039')",16445
"('D122', 'D123')",16443
"('I10', 'N401')",16442
"('R5383', 'E559')",16440
"('I10', 'G8918')",16438
"('R059', 'Z20822')",16431
"('M9905', 'M9903')",16424
"('Z885', 'Z79899')",16408
"('K219', 'Z9049')",16392
"('J9601', 'Z20822')",16363
"('Z79899', 'Z794')",16350
"('M9904', 'M9903')",16346
"('E7800', 'Z7984')",16344
"('N2581', 'E875')",16343
"('J449', 'F419')",16341
"('Z955', 'Z7982')",16339
"('M5450', 'M9905')",16331
"('I10', 'Z86711')",16318
"('I10', 'Z1211')",16303
"('K449', 'I10')",16277
"('N179', 'E119')",16267
"('R55', 'I10')",16262
"('D631', 'E1122')",16250
"('E860', 'E785')",16243
"('Z882', 'Z79899')",16233
"('R112', 'R197')",16219
"('I110', 'G4733')",16219
"('M25511', 'M25512')",16217
"('I10', 'Z66')",16217
"('D122', 'K648')",16215
"('E785', 'Z9049')",16212
"('I2510', 'I110')",16170
"('E7800', 'I2510')",16143
"('Z114', 'Z1159')",16142
"('J9601', 'E8720')",16135
"('E876', 'Z87891')",16130
"('Z1159', 'Z114')",16115
"('D123', 'K648')",16087
"('E782', 'E039')",16084
"('E782', 'K219')",16065
"('E119', 'E782')",16032
"('I10', 'R5383')",15976
"('R079', 'I10')",15968
"('F32A', 'E039')",15951
"('L814', 'D485')",15951
"('M9903', 'M9907')",15939
"('L821', 'D485')",15927
"('D72829', 'Z79899')",15919
"('I129', 'N1831')",15905
"('E876', 'F419')",15901
"('F419', 'G4700')",15885
"('I5022', 'I2510')",15851
"('I10', 'F411')",15849
"('E876', 'Z20822')",15831
"('E669', 'F419')",15823
"('N179', 'E871')",15794
"('E669', 'Z7984')",15773
"('I480', 'G4733')",15764
"('M25562', 'G8929')",15725
"('K219', 'Z8673')",15723
"('Z794', 'Z87891')",15701
"('Z6841', 'Z79899')",15687
"('L578', 'L821')",15653
"('E119', 'I4891')",15640
"('I10', 'Z0000')",15621
"('G8918', 'Z79899')",15608
"('K449', 'Z79899')",15579
"('R42', 'E785')",15574
"('E1122', 'Z87891')",15561
"('K5730', 'K644')",15560
"('Z992', 'K769')",15538
"('N189', 'Z79899')",15532
"('E7800', 'E669')",15508
"('F419', 'Z880')",15505
"('Z20822', 'E669')",15482
"('L905', 'Z1283')",15464
"('Z794', 'Z7982')",15447
"('G4733', 'Z888')",15443
"('J9601', 'E871')",15443
"('R112', 'I10')",15440
"('Z992', 'E8330')",15439
"('K219', 'Z881')",15424
"('J45909', 'E039')",15410
"('I10', 'K5900')",15404
"('Z79899', 'Z7951')",15377
"('I2510', 'N400')",15362
"('K219', 'G43909')",15347
"('D485', 'L570')",15340
"('D649', 'K219')",15339
"('E1122', 'K219')",15329
"('D72829', 'I10')",15324
"('G8929', 'E785')",15302
"('E669', 'Z20822')",15295
"('I129', 'E039')",15285
"('K219', 'E559')",15270
"('M6281', 'I10')",15269
"('I4891', 'G4733')",15253
"('I10', 'R0602')",15233
"('J449', 'E119')",15225
"('Z6841', 'E785')",15206
"('N179', 'E8720')",15156
"('R112', 'Z20822')",15109
"('R0602', 'Z87891')",15029
"('M9904', 'M9906')",15026
"('E871', 'N179')",15025
"('J45909', 'Z7951')",15003
"('I10', 'E7849')",14991
"('I4891', 'E039')",14971
"('K219', 'Z794')",14970
"('Z955', 'Z79899')",14950
"('E039', 'E6601')",14949
"('M79671', 'M79672')",14945
"('G8929', 'Z87891')",14894
"('Z0000', 'E785')",14882
"('N179', 'Z87891')",14858
"('F17210', 'Z888')",14852
"('Z86010', 'Z800')",14840
"('F32A', 'Z7982')",14834
"('N400', 'Z87891')",14819
"('I10', 'Z8546')",14809
"('Z7982', 'Z7901')",14802
"('L814', 'Z7189')",14801
"('Z7952', 'Z79899')",14794
"('Z66', 'Z20822')",14794
"('J45909', 'Z888')",14783
"('I4892', 'Z7901')",14775
"('I5022', 'E785')",14774
"('R0789', 'I10')",14772
"('D124', 'K5730')",14757
"('Z713', 'Z7182')",14746
"('Z23', 'Z1331')",14722
"('F419', 'G8929')",14717
"('K219', 'N400')",14702
"('Z86718', 'Z79899')",14690
"('Z881', 'Z885')",14664
"('I10', 'Z886')",14658
"('I129', 'Z7901')",14619
"('M1990', 'Z79899')",14603
"('I4891', 'J449')",14584
"('R000', 'Z20822')",14581
"('E1169', 'E785')",14570
"('J189', 'N179')",14544
"('Z20822', 'F32A')",14520
"('I252', 'I10')",14448
"('L578', 'Z85828')",14439
"('Z8616', 'Z87891')",14432
"('I130', 'N189')",14413
"('Z992', 'M899')",14406
"('I480', 'Z7982')",14399
"('E43', 'Z681')",14362
"('J441', 'I10')",14359
"('Z87891', 'Z881')",14348
"('K219', 'G8929')",14343
"('I10', 'Z950')",14333
"('Z79899', 'E785')",14318
"('I10', 'R739')",14309
"('D120', 'K5730')",14304
"('Z9049', 'Z79899')",14294
"('Z0000', 'Z23')",14287
"('Z23', 'Z79899')",14281
"('I10', 'D509')",14249
"('G4733', 'Z20822')",14226
"('N1830', 'K219')",14220
"('R110', 'D631')",14219
"('M5450', 'M542')",14210
"('Z6841', 'G4733')",14209
"('I5032', 'I110')",14204
"('E559', 'E538')",14194
"('Z86010', 'Z87891')",14186
"('E871', 'E039')",14177
"('R531', 'E785')",14169
"('F32A', 'F17210')",14154
"('D649', 'Z87891')",14142
"('E1165', 'Z79899')",14136
"('J45909', 'Z7982')",14105
"('M9901', 'M9906')",14094
"('N390', 'B9620')",14086
"('E782', 'Z87891')",14085
"('I480', 'E039')",14083
"('M6281', 'R41841')",14072
"('M25551', 'M25552')",14063
"('F17210', 'K219')",14063
"('I4820', 'Z7901')",14051
"('Z20822', 'G4733')",14048
"('E785', 'G43909')",14044
"('I10', 'R42')",14040
"('N401', 'N138')",14038
"('I10', 'G629')",14037
"('E559', 'R5383')",14020
"('N1830', 'E039')",14008
"('E871', 'E860')",14008
"('Z5181', 'Z79899')",13994
"('Z20822', 'Z888')",13983
"('Z7901', 'I4891')",13973
"('J9601', 'K219')",13970
"('F419', 'G43909')",13947
"('I10', 'Z9989')",13942
"('I2510', 'E1122')",13938
"('I509', 'I2510')",13935
"('E1122', 'G4733')",13932
"('Z87891', 'Z885')",13924
"('F909', 'Z79899')",13919
"('R0789', 'Z79899')",13916
"('N179', 'N189')",13899
"('I5032', 'Z7901')",13892
"('Z139', 'Z1331')",13877
"('G4733', 'J45909')",13867
"('I10', 'Z86010')",13861
"('Z370', 'Z3A40')",13855
"('Z87891', 'E669')",13854
"('Z87891', 'Z882')",13854
"('J441', 'E785')",13849
"('E559', 'E039')",13830
"('I5033', 'E785')",13830
"('N179', 'D649')",13828
"('E039', 'E782')",13819
"('E669', 'Z6836')",13799
"('N2581', 'M899')",13787
"('D122', 'Z86010')",13758
"('L821', 'Z7189')",13751
"('N400', 'E785')",13730
"('E875', 'N2581')",13676
"('I10', 'F1090')",13664
"('E6601', 'F419')",13645
"('R109', 'Z79899')",13631
"('Z7984', 'Z794')",13627
"('E119', 'E559')",13625
"('E1140', 'E785')",13624
